size,lang,mode,query,retrieved_top10,precision,recall,elapsed_ms
100,zh,HRR,Q1,"[90, 86, 82, 85, 99, 84, 81, 44, 97, 94]",0.2000,0.4000,8.640
100,zh,HRR,Q2,"[90, 19, 14, 84, 11, 10, 88, 99, 79, 2]",0.0000,0.0000,8.240
100,zh,HRR,Q3,"[80, 85, 97, 92, 81, 83, 40, 93, 18, 87]",0.2000,0.0667,108.950
100,zh,HRR,Q4,"[[3, 24], [3, 13], [3, 19], [16, 18], [18, 24], [20, 24], [1, 16], [3, 12], [3, 14], [15, 24]]",0.0000,0.0000,19.300
100,zh,HRR,Q5,[],0.0000,0.0000,0.150
100,zh,HRR,Q6,[],0.0000,0.0000,0.110
100,zh,noHRR,Q1,[],0.0000,0.0000,0.140
100,zh,noHRR,Q2,[],0.0000,0.0000,0.040
100,zh,noHRR,Q3,"[1, 3, 4, 5, 15, 17, 22, 6, 8, 9]",1.0000,0.3333,0.330
100,zh,noHRR,Q4,[],0.0000,0.0000,0.000
100,zh,noHRR,Q5,[],0.0000,0.0000,0.040
100,zh,noHRR,Q6,[],0.0000,0.0000,0.040
100,en,HRR,Q1,"[97, 98, 52, 49, 89, 25, 34, 94, 76, 50]",0.3000,0.6000,8.350
100,en,HRR,Q2,"[50, 41, 30, 76, 42, 35, 19, 46, 52, 33]",0.0000,0.0000,8.000
100,en,HRR,Q3,"[44, 28, 60, 72, 95, 38, 47, 57, 50, 32]",0.1000,0.0333,120.210
100,en,HRR,Q4,"[[60, 72], [17, 22], [58, 70], [58, 60], [60, 70], [58, 72], [3, 15], [3, 22], [1, 3], [3, 17]]",0.0000,0.0000,4.430
100,en,HRR,Q5,"[95, 98, 97, 94, 96]",1.0000,1.0000,2.690
100,en,HRR,Q6,[],0.0000,0.0000,0.120
100,en,noHRR,Q1,[],0.0000,0.0000,0.220
100,en,noHRR,Q2,[],0.0000,0.0000,0.130
100,en,noHRR,Q3,"[6, 8, 9, 13, 16, 23, 25, 1, 3, 4]",1.0000,0.3333,0.280
100,en,noHRR,Q4,[],0.0000,0.0000,0.000
100,en,noHRR,Q5,[],0.0000,0.0000,0.080
100,en,noHRR,Q6,[],0.0000,0.0000,0.050
200,zh,HRR,Q1,"[53, 175, 163, 52, 159, 155, 199, 72, 156, 63]",0.0000,0.0000,16.590
200,zh,HRR,Q2,"[152, 37, 151, 19, 14, 34, 175, 159, 156, 11]",0.0000,0.0000,15.970
200,zh,HRR,Q3,"[194, 197, 195, 186, 177, 196, 171, 124, 167, 192]",0.5000,0.0833,223.080
200,zh,HRR,Q4,"[[3, 24], [3, 13], [3, 27], [3, 19], [18, 36], [24, 39], [24, 40], [16, 18], [36, 42], [42, 43]]",0.0000,0.0000,83.770
200,zh,HRR,Q5,[],0.0000,0.0000,0.180
200,zh,HRR,Q6,[],0.0000,0.0000,0.120
200,zh,noHRR,Q1,[],0.0000,0.0000,0.260
200,zh,noHRR,Q2,[],0.0000,0.0000,0.060
200,zh,noHRR,Q3,"[43, 1, 3, 4, 5, 15, 17, 22, 26, 39]",1.0000,0.1667,0.460
200,zh,noHRR,Q4,[],0.0000,0.0000,0.010
200,zh,noHRR,Q5,[],0.0000,0.0000,0.050
200,zh,noHRR,Q6,[],0.0000,0.0000,0.070
200,en,HRR,Q1,"[193, 81, 86, 50, 191, 189, 34, 194, 158, 66]",0.4000,0.4000,16.140
200,en,HRR,Q2,"[80, 58, 70, 83, 56, 74, 72, 60, 65, 86]",0.0000,0.0000,16.130
200,en,HRR,Q3,"[79, 145, 113, 101, 90, 195, 52, 193, 100, 88]",0.2000,0.0333,246.200
200,en,HRR,Q4,"[[15, 43], [22, 43], [43, 46], [43, 47], [39, 43], [43, 50], [3, 43], [5, 43], [4, 43], [124, 146]]",0.0000,0.0000,17.880
200,en,HRR,Q5,"[191, 195, 192, 193, 194, 198, 190, 196, 197, 189]",1.0000,1.0000,5.050
200,en,HRR,Q6,[],0.0000,0.0000,0.120
200,en,noHRR,Q1,"[189, 190, 191, 192, 193, 194, 195, 196, 197, 198]",1.0000,1.0000,0.440
200,en,noHRR,Q2,"[189, 190, 191, 192, 193, 194, 195, 196, 197, 198]",1.0000,1.0000,0.220
200,en,noHRR,Q3,"[6, 8, 9, 13, 16, 23, 25, 28, 31, 32]",1.0000,0.1667,0.550
200,en,noHRR,Q4,[],0.0000,0.0000,0.010
200,en,noHRR,Q5,"[189, 190, 191, 192, 193, 194, 195, 196, 197, 198]",1.0000,1.0000,0.310
200,en,noHRR,Q6,[],0.0000,0.0000,0.080
500,zh,HRR,Q1,"[380, 418, 199, 231, 438, 163, 152, 452, 448, 384]",0.0000,0.0000,47.660
500,zh,HRR,Q2,"[452, 444, 402, 37, 400, 76, 420, 470, 19, 463]",0.0000,0.0000,42.180
500,zh,HRR,Q3,"[493, 399, 458, 412, 477, 455, 486, 474, 431, 427]",0.4000,0.0267,580.510
500,zh,HRR,Q4,"[[146, 159], [139, 159], [3, 24], [55, 75], [3, 98], [159, 233], [3, 13], [16, 115], [51, 78], [159, 205]]",0.0000,0.0000,512.000
500,zh,HRR,Q5,[],0.0000,0.0000,0.310
500,zh,HRR,Q6,[],0.0000,0.0000,0.140
500,zh,noHRR,Q1,"[474, 475, 476, 477, 478, 479, 480, 481, 482, 483]",1.0000,0.4000,0.430
500,zh,noHRR,Q2,"[474, 475, 476, 477, 478, 479, 480, 481, 482, 483]",1.0000,0.4000,0.330
500,zh,noHRR,Q3,"[43, 1, 3, 4, 5, 15, 17, 22, 26, 39]",1.0000,0.0667,1.030
500,zh,noHRR,Q4,[],0.0000,0.0000,0.010
500,zh,noHRR,Q5,[],0.0000,0.0000,0.050
500,zh,noHRR,Q6,[],0.0000,0.0000,0.070
500,en,HRR,Q1,"[481, 488, 89, 493, 482, 103, 191, 495, 478, 50]",0.6000,0.2400,40.690
